"year"	"district"	"name"	"party"	"winning_margin"	"winner_flag"
"2024"	29	"Perez"	"R"	4.34	"L"
"2024"	30	"Bauknight"	"R"	1.62	"W"
"2024"	30	"Louderback"	"R"	1.62	"L"
"2024"	30	"Hicks-Callaway"	"R"	1.62	"L"
"2024"	30	"Baldwin"	"R"	1.62	"L"
"2016"	33	"Keating"	"R"	4.77	"W"
"2016"	33	"Holland"	"R"	4.77	"L"
"2016"	33	"Liechty"	"R"	4.77	"L"
"2022"	33	"Lynskey"	"D"	2.9	"W"
"2022"	33	"Haase"	"D"	2.9	"L"
"2024"	33	"Pierson"	"R"	0.81	"W"
"2024"	33	"Holland"	"R"	0.81	"L"
"2024"	33	"London"	"R"	0.81	"L"
"2020"	37	"Dominguez"	"D"	2.93	"W"
"2020"	37	"Medina"	"D"	2.93	"L"
"2022"	37	"Cortez"	"D"	2.77	"W"
"2022"	37	"Villarreal"	"D"	2.77	"L"
"2022"	37	"Puente"	"D"	2.77	"L"
"2024"	37	"Cortez"	"D"	7.05	"W"
"2024"	37	"Gracia"	"D"	7.05	"L"
"2024"	37	"Dominguez"	"D"	7.05	"L"
"2024"	37	"Sanchez"	"D"	7.05	"L"
"2020"	38	"Lucio"	"D"	7.8	"W"
"2020"	38	"Gamez"	"D"	7.8	"L"
"2012"	40	"Canales"	"D"	4.25	"W"
"2012"	40	"Hernandez"	"D"	4.25	"L"
"2012"	40	"Pena"	"D"	4.25	"L"
"2012"	40	"Betancourt"	"D"	4.25	"L"
"2012"	41	"Martinez"	"R"	8.23	"W"
"2012"	41	"Vera"	"R"	8.23	"L"
"2012"	43	"Lozano"	"R"	0.45	"W"
"2012"	43	"Wilson"	"R"	0.45	"L"
"2012"	43	"Vaden"	"R"	0.45	"L"
"2024"	44	"Schoolcraft"	"R"	3.04	"W"
"2024"	44	"Kuempel"	"R"	3.04	"L"
"2024"	44	"Switzer"	"R"	3.04	"L"
"2024"	44	"Freimarck"	"R"	3.04	"L"
"2020"	45	"Isaac"	"R"	6.46	"W"
"2020"	45	"Wymore"	"R"	6.46	"L"
"2020"	45	"Talley"	"R"	6.46	"L"
"2018"	46	"Vela"	"D"	1.28	"W"
"2018"	46	"Cole"	"D"	1.28	"L"
"2018"	46	"Dukes"	"D"	1.28	"L"
"2018"	46	"Cortez"	"D"	1.28	"L"
"2018"	46	"McKinney"	"D"	1.28	"L"
"2018"	46	"Baker"	"D"	1.28	"L"
"2018"	47	"Goodwin"	"D"	4.46	"W"
"2018"	47	"Fowler"	"D"	4.46	"L"
"2018"	47	"Soltes"	"D"	4.46	"L"
"2018"	47	"Aylor"	"D"	4.46	"L"
"2018"	47	"Simpson"	"D"	4.46	"L"
"2020"	47	"Fleck"	"R"	9.26	"W"
"2020"	47	"Berry"	"R"	9.26	"L"
"2020"	47	"Zimmerman"	"R"	9.26	"L"
"2020"	47	"Reitz"	"R"	9.26	"L"
"2020"	47	"Forgey"	"R"	9.26	"L"
"2022"	52	"McGuinness"	"R"	3.75	"W"
"2022"	52	"Harris"	"R"	3.75	"L"
"2022"	52	"Jarrin"	"R"	3.75	"L"
"2022"	52	"Schober"	"R"	3.75	"L"
"2024"	52	"Birkholz"	"D"	1.6	"W"
"2024"	52	"Carroll"	"D"	1.6	"L"
"2016"	54	"Cosper"	"R"	4.89	"W"
"2016"	54	"Ruiz"	"R"	4.89	"L"
"2016"	54	"Smith"	"R"	4.89	"L"
"2018"	54	"Cosper"	"R"	3.06	"W"
"2018"	54	"Buckley"	"R"	3.06	"L"
"2018"	54	"Smith"	"R"	3.06	"L"
"2014"	55	"White"	"R"	7.45	"W"
"2014"	55	"Sheffield"	"R"	7.45	"L"
"2016"	55	"Shine"	"R"	0.53	"W"
"2016"	55	"White"	"R"	0.53	"L"
"2014"	58	"Eby"	"R"	9.75	"W"
"2014"	58	"Burns"	"R"	9.75	"L"
"2014"	58	"Teich"	"R"	9.75	"L"
"2014"	58	"Laird"	"R"	9.75	"L"
"2016"	58	"Burns"	"R"	7.2	"W"
"2016"	58	"Eby"	"R"	7.2	"L"
"2024"	58	"Kerwin"	"R"	7.68	"W"
"2024"	58	"Burns"	"R"	7.68	"L"
"2024"	58	"Laird"	"R"	7.68	"L"
"2012"	59	"Miller"	"R"	0.98	"W"
"2012"	59	"Sheffield"	"R"	0.98	"L"
"2012"	59	"Jones"	"R"	0.98	"L"
"2016"	60	"Lang"	"R"	7.59	"W"
"2016"	60	"Downing"	"R"	7.59	"L"
"2020"	60	"Francis"	"R"	2.12	"W"
"2020"	60	"Rogers"	"R"	2.12	"L"
"2020"	60	"SoRelle"	"R"	2.12	"L"
"2020"	60	"Perricone"	"R"	2.12	"L"
"2022"	60	"Rogers"	"R"	7.66	"W"
"2022"	60	"Olcott"	"R"	7.66	"L"
"2022"	60	"Marshall"	"R"	7.66	"L"
"2022"	60	"Turner"	"R"	7.66	"L"
"2022"	61	"Frazier"	"R"	5.73	"W"
"2022"	61	"Chabot"	"R"	5.73	"L"
"2022"	61	"Herblin"	"R"	5.73	"L"
"2024"	61	"Richardson"	"R"	7.65	"W"
"2024"	61	"Frazier"	"R"	7.65	"L"
"2024"	61	"Branch"	"R"	7.65	"L"
"2024"	62	"Luther"	"R"	6.82	"W"
"2024"	62	"Smith"	"R"	6.82	"L"
"2022"	63	"Bumgarner"	"R"	1.49	"W"
"2022"	63	"Younger"	"R"	1.49	"L"
"2022"	63	"Sanders"	"R"	1.49	"L"
"2022"	63	"Collier"	"R"	1.49	"L"
"2014"	64	"Crownover"	"R"	9.94	"W"
"2014"	64	"King"	"R"	9.94	"L"
"2016"	64	"Flanagan"	"D"	3.77	"W"
"2016"	64	"Greco"	"D"	3.77	"L"
"2018"	64	"Pruneda"	"D"	2.86	"W"
"2018"	64	"Morris"	"D"	2.86	"L"
"2018"	64	"Farmer"	"D"	2.86	"L"
"2022"	64	"Stucky"	"R"	0.48	"W"
"2022"	64	"Hopper"	"R"	0.48	"L"
"2024"	64	"Hopper"	"R"	3.38	"W"
"2024"	64	"Stucky"	"R"	3.38	"L"
"2024"	64	"Hays"	"R"	3.38	"L"
"2024"	65	"Little"	"R"	1.37	"W"
"2024"	65	"Thimesch"	"R"	1.37	"L"
"2014"	66	"Shaheen"	"R"	8.79	"W"
"2014"	66	"Callison"	"R"	8.79	"L"
"2014"	66	"Chen"	"R"	8.79	"L"
"2012"	67	"Cole"	"R"	2.07	"W"
"2012"	67	"Leach"	"R"	2.07	"L"
"2012"	67	"Burns"	"R"	2.07	"L"
"2012"	67	"Akers"	"R"	2.07	"L"
"2012"	67	"Pitchford"	"R"	2.07	"L"
"2020"	67	"Adair"	"D"	5.88	"W"
"2020"	67	"Sanchez"	"D"	5.88	"L"
"2020"	67	"Hernandez"	"D"	5.88	"L"
"2020"	67	"Lo"	"D"	5.88	"L"
"2022"	70	"Garcia Hernandez"	"D"	1.06	"W"
"2022"	70	"Plesa"	"D"	1.06	"L"
"2022"	70	"Sanchez"	"D"	1.06	"L"
"2022"	70	"Jolly"	"R"	6.07	"W"
"2022"	70	"Bowlin"	"R"	6.07	"L"
"2022"	70	"Padgett"	"R"	6.07	"L"
"2022"	70	"Chandler"	"R"	6.07	"L"
"2022"	70	"Buggs"	"R"	6.07	"L"
"2024"	71	"Lambert"	"R"	4.81	"W"
"2024"	71	"Case"	"R"	4.81	"L"
"2016"	73	"Miller"	"R"	3.63	"W"
"2016"	73	"Biedermann"	"R"	3.63	"L"
"2016"	73	"Byrd"	"R"	3.63	"L"
"2022"	73	"Casteel"	"R"	1.04	"W"
"2022"	73	"Isaac"	"R"	1.04	"L"
"2022"	73	"Green"	"R"	1.04	"L"
"2020"	74	"Falcon"	"R"	7.02	"W"
"2020"	74	"Garza"	"R"	7.02	"L"
"2024"	74	"Garza"	"R"	7.95	"W"
"2024"	74	"McLeon"	"R"	7.95	"L"
"2024"	76	"Kanwal"	"R"	0.13	"W"
"2024"	76	"Simmons"	"R"	0.13	"L"
"2024"	76	"David"	"R"	0.13	"L"
"2024"	77	"Perez"	"D"	5.79	"W"
"2024"	77	"Chavez"	"D"	5.79	"L"
"2024"	77	"Annello"	"D"	5.79	"L"
"2024"	77	"Reza"	"D"	5.79	"L"
"2024"	80	"Castellano"	"D"	1.55	"W"
"2024"	80	"Cuellar"	"D"	1.55	"L"
"2024"	80	"Lopez"	"D"	1.55	"L"
"2024"	80	"Johnson Hernandez"	"D"	1.55	"L"
"2024"	80	"Villarreal"	"D"	1.55	"L"
"2020"	83	"Perry-Franks"	"D"	8.1	"W"
"2020"	83	"Barrick"	"D"	8.1	"L"
"2022"	84	"Glasheen"	"R"	1.69	"W"
"2022"	84	"Tepper"	"R"	1.69	"L"
"2022"	84	"Wilcox"	"R"	1.69	"L"
"2022"	84	"Little"	"R"	1.69	"L"
"2012"	85	"Stephenson"	"R"	6.6	"W"
"2012"	85	"Duggan"	"R"	6.6	"L"
"2022"	85	"Stephenson"	"R"	5.54	"W"
"2022"	85	"Kitzman"	"R"	5.54	"L"
"2022"	85	"Roberts"	"R"	5.54	"L"
"2022"	85	"Hernandez"	"R"	5.54	"L"
"2012"	88	"Landtroop"	"R"	3.69	"W"
"2012"	88	"King"	"R"	3.69	"L"
"2012"	88	"Smith"	"R"	3.69	"L"
"2012"	88	"Walker"	"R"	3.69	"L"
"2018"	89	"Noble"	"R"	8.46	"W"
"2018"	89	"Payton"	"R"	8.46	"L"
"2020"	89	"Ash"	"D"	9.05	"W"
"2020"	89	"Cocks"	"D"	9.05	"L"
"2024"	89	"Noble"	"R"	5.2	"W"
"2024"	89	"George"	"R"	5.2	"L"
"2012"	90	"Burnam"	"D"	3.99	"W"
"2012"	90	"Vasquez"	"D"	3.99	"L"
"2014"	90	"Romero"	"D"	2.17	"W"
"2014"	90	"Burnam"	"D"	2.17	"L"
"2012"	91	"Sapp"	"R"	7.92	"W"
"2012"	91	"Klick"	"R"	7.92	"L"
"2012"	91	"Scoma"	"R"	7.92	"L"
"2012"	91	"Thombs"	"R"	7.92	"L"
"2022"	91	"Klick"	"R"	9.99	"W"
"2022"	91	"Lowe"	"R"	9.99	"L"
"2022"	91	"Reed"	"R"	9.99	"L"
"2022"	91	"Silvey"	"R"	9.99	"L"
"2022"	91	"Damico"	"R"	9.99	"L"
"2024"	91	"Klick"	"R"	2.04	"W"
"2024"	91	"Lowe"	"R"	2.04	"L"
"2024"	91	"Ramirez"	"R"	2.04	"L"
"2018"	93	"Bean"	"D"	1.58	"W"
"2018"	93	"Mathews"	"D"	1.58	"L"
"2022"	93	"Schatzline"	"R"	6.87	"W"
"2022"	93	"Hill"	"R"	6.87	"L"
"2022"	93	"Moon"	"R"	6.87	"L"
"2012"	95	"Collier"	"D"	9.75	"W"
"2012"	95	"Gaines"	"D"	9.75	"L"
"2012"	95	"Masimini"	"D"	9.75	"L"
"2024"	97	"Symons"	"D"	9.49	"W"
"2024"	97	"Walker"	"D"	9.49	"L"
"2024"	97	"Thorburn"	"D"	9.49	"L"
"2020"	100	"Birabil"	"D"	3.44	"W"
"2020"	100	"Crockett"	"D"	3.44	"L"
"2020"	100	"Crenshaw"	"D"	3.44	"L"
"2020"	100	"Clayton"	"D"	3.44	"L"
"2020"	100	"Armstrong"	"D"	3.44	"L"
"2020"	100	"Stafford"	"D"	3.44	"L"
"2022"	100	"Crenshaw"	"D"	8.59	"W"
"2022"	100	"Jones"	"D"	8.59	"L"
"2022"	100	"Clayton"	"D"	8.59	"L"
"2022"	100	"Hawkins"	"D"	8.59	"L"
"2014"	102	"Koop"	"R"	1.59	"W"
"2014"	102	"Carter"	"R"	1.59	"L"
"2014"	102	"Brown"	"R"	1.59	"L"
"2014"	102	"Boyne"	"R"	1.59	"L"
"2020"	103	"Fortenberry"	"R"	5.93	"W"
"2020"	103	"Mecom"	"R"	5.93	"L"
"2014"	105	"Anderson"	"R"	5.46	"W"
"2014"	105	"Harper-Brown"	"R"	5.46	"L"
"2018"	106	"Patterson"	"R"	7.94	"W"
"2018"	106	"Bedsole"	"R"	7.94	"L"
"2024"	108	"Meyer"	"R"	2.23	"W"
"2024"	108	"Wernick"	"R"	2.23	"L"
"2018"	109	"Jones"	"D"	4.54	"W"
"2018"	109	"Sherman"	"D"	4.54	"L"
"2018"	109	"Walton"	"D"	4.54	"L"
"2018"	109	"Graham"	"D"	4.54	"L"
"2014"	112	"Chen Button"	"R"	8.06	"W"
"2014"	112	"Patterson"	"R"	8.06	"L"
"2012"	114	"Keffer"	"R"	6.31	"W"
"2012"	114	"Villalba"	"R"	6.31	"L"
"2012"	114	"Boone"	"R"	6.31	"L"
"2018"	114	"Luby Ryan"	"R"	6.22	"W"
"2018"	114	"Villalba"	"R"	6.22	"L"
"2022"	114	"Guio"	"D"	3.46	"W"
"2022"	114	"Bryant"	"D"	3.46	"L"
"2022"	114	"Scudder"	"D"	3.46	"L"
"2022"	114	"Leal"	"D"	3.46	"L"
"2022"	114	"Gearing"	"D"	3.46	"L"
"2012"	115	"Nguyen"	"R"	4.97	"W"
"2012"	115	"Ratliff"	"R"	4.97	"L"
"2012"	115	"Rinaldi"	"R"	4.97	"L"
"2012"	115	"Olivo"	"R"	4.97	"L"
"2012"	115	"Grimmett"	"R"	4.97	"L"
"2014"	115	"Rinaldi"	"R"	1.12	"W"
"2014"	115	"Ratliff"	"R"	1.12	"L"
"2016"	115	"Rinaldi"	"R"	6.9	"W"
"2016"	115	"Ratliff"	"R"	6.9	"L"
"2018"	116	"Martinez Fischer"	"D"	1.31	"W"
"2018"	116	"Arevalo"	"D"	1.31	"L"
"2020"	116	"Litoff"	"R"	0.21	"W"
"2020"	116	"Padron"	"R"	0.21	"L"
"2012"	117	"Cortez"	"D"	1.07	"W"
"2012"	117	"Torres"	"D"	1.07	"L"
"2012"	117	"Mireles"	"D"	1.07	"L"
"2020"	119	"Campos"	"D"	2.27	"W"
"2020"	119	"Ramos"	"D"	2.27	"L"
"2020"	119	"Villasana"	"D"	2.27	"L"
"2016"	120	"Miller"	"D"	0.3	"W"
"2016"	120	"Gervin-Hawkins"	"D"	0.3	"L"
"2016"	120	"Salas"	"D"	0.3	"L"
"2016"	120	"Hall"	"D"	0.3	"L"
"2016"	120	"Darnell"	"D"	0.3	"L"
"2018"	121	"Beebe"	"R"	3.22	"W"
"2018"	121	"Allison"	"R"	3.22	"L"
"2018"	121	"Soules"	"R"	3.22	"L"
"2018"	121	"Williamson"	"R"	3.22	"L"
"2018"	121	"Whyte"	"R"	3.22	"L"
"2018"	121	"Spears"	"R"	3.22	"L"
"2022"	122	"Chan"	"R"	9.61	"W"
"2022"	122	"Dorazio"	"R"	9.61	"L"
"2022"	122	"Blanchard"	"R"	9.61	"L"
"2022"	122	"Cuthbert"	"R"	9.61	"L"
"2016"	128	"Cain"	"R"	4.08	"W"
"2016"	128	"Smith"	"R"	4.08	"L"
"2016"	128	"McDaniel"	"R"	4.08	"L"
"2014"	129	"Berg"	"R"	0.46	"W"
"2014"	129	"Paul"	"R"	0.46	"L"
"2014"	129	"Perry"	"R"	0.46	"L"
"2014"	129	"Cain"	"R"	0.46	"L"
"2014"	129	"Huls"	"R"	0.46	"L"
"2014"	129	"Maricle"	"R"	0.46	"L"
"2014"	129	"Larson"	"R"	0.46	"L"
"2020"	132	"Schofield"	"R"	5.91	"W"
"2020"	132	"Garcia"	"R"	5.91	"L"
"2022"	132	"Campbell"	"D"	4.21	"W"
"2022"	132	"West"	"D"	4.21	"L"
"2018"	133	"Moore"	"D"	9.05	"W"
"2018"	133	"Schexnayder"	"D"	9.05	"L"
"2018"	133	"Tejas"	"D"	9.05	"L"
"2022"	133	"Barineau"	"R"	1.32	"W"
"2022"	133	"DeAyala"	"R"	1.32	"L"
"2022"	133	"Travis"	"R"	1.32	"L"
"2022"	133	"Franklin"	"R"	1.32	"L"
"2022"	133	"Keller"	"R"	1.32	"L"
"2022"	135	"Hagerty"	"R"	2.82	"W"
"2022"	135	"May"	"R"	2.82	"L"
"2016"	139	"Willis"	"D"	3.58	"W"
"2016"	139	"Johnson"	"D"	3.58	"L"
"2016"	139	"Bates"	"D"	3.58	"L"
"2016"	139	"Ford"	"D"	3.58	"L"
"2024"	139	"Thibodeaux"	"D"	9.23	"W"
"2024"	139	"Ward Johnson"	"D"	9.23	"L"
"2024"	139	"Jenkins"	"D"	9.23	"L"
"2024"	139	"Caesar"	"D"	9.23	"L"
"2024"	139	"Ford"	"D"	9.23	"L"
"2022"	142	"Dutton"	"D"	2.58	"W"
"2022"	142	"Houston"	"D"	2.58	"L"
"2024"	146	"Simmons"	"D"	4.86	"W"
"2024"	146	"Thierry"	"D"	4.86	"L"
"2024"	146	"Woods"	"D"	4.86	"L"
"2022"	147	"Jones"	"R"	7.3	"W"
"2022"	147	"Baylor"	"R"	7.3	"L"
